,track_popularity,playlist_genre,playlist_subgenre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,lyrical_subjectivity,lyrical_polarity,repeated_phrases,minutes,word_count,WPM_approx,artist_past_performance,correct
1811,5,2,10,0.32,0.295,-11.263,0.052000000000000005,0.691,0.0,0.129,0.171,177.4,255205,0.733,-0.3619999999999999,2,4.253416666666666,261,61.362434121588535,0,False
1498,12,5,2,0.544,0.903,-5.651,0.0545,0.0016600000000000002,0.00632,0.1,0.4320000000000001,153.629,204587,0.6311111111111111,0.3746527777777778,0,3.4097833333333334,262,76.83772673728048,0,False
3107,57,5,15,0.206,0.4,-9.813,0.0324,0.053,0.638,0.111,0.196,133.442,258813,0.6,0.5,0,4.31355,109,25.26920981558113,4,False
877,48,1,22,0.642,0.913,-5.249,0.0517,0.0291,0.00054,0.355,0.474,120.035,192092,0.6343434343434343,0.3595959595959595,0,3.2015333333333333,270,84.33458967578035,0,False
6037,74,4,8,0.76,0.595,-6.3660000000000005,0.0391,0.00544,0.0,0.241,0.361,131.497,263773,0.4702412280701755,0.07361842105263157,0,4.396216666666667,1512,343.9320931255284,0,False
6351,61,2,10,0.515,0.821,-2.333,0.0309,0.007940000000000001,0.0,0.0787,0.425,86.994,205173,0.6662210338680927,0.10329768270944743,1,3.41955,228,66.6754397508444,0,False
1181,30,1,11,0.728,0.687,-12.944,0.0456,0.0611,0.18,0.0575,0.82,120.575,292567,0.4675595238095238,-0.003968253968253968,0,4.876116666666666,286,58.65323156747002,0,False
3437,65,4,20,0.5720000000000001,0.8220000000000001,-6.015,0.361,0.207,0.0,0.359,0.472,94.812,289000,0.4855266955266956,0.17006854256854256,0,4.816666666666666,621,128.9273356401384,0,False
2142,26,2,17,0.8590000000000001,0.557,-5.907,0.053,0.289,8.13e-05,0.12,0.56,121.977,142859,0.7827777777777778,0.4394444444444445,0,2.380983333333333,247,103.73865139753185,0,False
2223,56,0,18,0.597,0.8320000000000001,-3.865,0.0782,0.114,1.16e-06,0.7,0.374,126.069,176190,0.7,0.6083333333333334,14,2.9365,327,111.35705772177765,0,False
5146,25,3,13,0.5760000000000001,0.561,-14.122,0.0423,0.122,0.0,0.0531,0.908,149.174,238200,0.5197278911564627,0.2916772959183674,0,3.97,349,87.90931989924431,0,False
2131,10,0,4,0.682,0.967,-4.268,0.0396,0.00762,0.278,0.0614,0.188,110.024,253093,0.0,0.0,0,4.218216666666667,8,1.8965360559162048,5,False
6136,58,3,13,0.479,0.5579999999999999,-6.074,0.179,0.227,0.0,0.0808,0.8,83.465,262680,0.5930607315389923,0.2922018319844405,0,4.378,345,78.80310644129739,0,False
7352,57,2,10,0.725,0.8440000000000001,-3.707,0.0347,0.363,0.0007160000000000001,0.125,0.711,104.001,209427,0.4761316872427983,0.2274691358024692,1,3.49045,380,108.8684840063602,0,False
5067,70,1,11,0.503,0.8079999999999999,-5.051,0.045,0.0254,0.00162,0.557,0.28300000000000003,107.975,197533,0.4578947368421053,0.02105263157894736,12,3.2922166666666666,562,170.7056542451135,19,False
544,64,5,0,0.602,0.877,-6.606,0.0515,0.000343,0.635,0.0551,0.617,123.679,247962,0.6333333333333334,0.17708333333333334,0,4.1327,336,81.302780264718,0,False
7136,35,2,5,0.597,0.8420000000000001,-3.424,0.0352,0.0135,6.38e-06,0.158,0.484,127.924,240938,0.4781045751633987,0.0831699346405229,4,4.015633333333334,293,72.96482912616524,0,False
3143,7,4,6,0.581,0.569,-7.978,0.43,0.0248,4.94e-05,0.373,0.726,97.927,208655,0.4887057387057388,0.1965506715506716,0,3.477583333333333,521,149.8166830413841,5,False
4977,77,2,3,0.552,0.76,-4.706,0.342,0.0733,0.0,0.0865,0.639,135.702,260000,0.4452140452140456,0.08633619747256112,63,4.333333333333333,2016,465.23076923076934,1,False
5897,88,2,17,0.708,0.18600000000000005,-8.953,0.0422,0.868,0.0,0.0779,0.321,72.541,156107,0.4923076923076922,-0.007692307692307691,12,2.601783333333333,748,287.49511552973286,2,False
3945,58,2,5,0.787,0.42,-14.32,0.0645,0.153,0.16399999999999998,0.16899999999999998,0.838,161.247,301373,0.5172398589065256,0.21746031746031744,0,5.022883333333334,215,42.80409990277828,0,False
2676,40,4,20,0.8240000000000001,0.48,-6.745,0.14400000000000002,0.17800000000000002,0.0,0.16699999999999998,0.7240000000000001,88.029,261080,0.6055811036789297,-0.06649712002972875,0,4.351333333333334,510,117.20545426689137,0,False
6472,58,5,2,0.5589999999999999,0.393,-11.095,0.0237,0.7170000000000001,0.0,0.0532,0.669,90.105,274891,0.4841781874039941,0.4445093213238375,4,4.5815166666666665,311,67.8814511933821,1,False
6055,63,3,23,0.416,0.412,-11.262,0.0361,0.511,0.000423,0.241,0.409,116.84,154406,0.6071428571428571,0.1904761904761905,0,2.573433333333333,124,48.18465603668251,0,False
3947,0,0,16,0.511,0.7240000000000001,-4.333,0.0495,0.0773,1.09e-05,0.155,0.132,80.01,244611,0.4583333333333333,0.04924242424242423,0,4.07685,160,39.245986484663405,1,False
2533,48,2,10,0.5870000000000001,0.8809999999999999,-1.3159999999999998,0.0397,0.0114,0.00146,0.326,0.221,94.984,328421,0.6,0.20000000000000004,0,5.473683333333334,61,11.144232555165472,0,False
3936,61,3,23,0.639,0.633,-7.337999999999999,0.0352,0.574,0.000218,0.111,0.243,129.996,258453,0.6593253968253969,-0.3111111111111111,0,4.30755,311,72.19881371081009,0,False
