,track_popularity,playlist_genre,playlist_subgenre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Hit or Not,lyrical_subjectivity,lyrical_polarity,repeated_phrases,minutes,word_count,WPM_approx,artist_past_performance
180,13,4,8,0.8540000000000001,0.6920000000000001,-6.625,0.0479,0.0668,0.0,0.247,0.753,101.865,291782,1,0.458014985014985,0.15502780552780554,55,4.863033333333333,2016,414.5560726844014,0
183,79,2,5,0.728,0.563,-8.052999999999999,0.134,0.621,0.0,0.179,0.35200000000000004,100.01700000000001,217707,1,0.5629720853858785,0.15459770114942525,42,3.62845,1329,366.27209965687825,0
193,36,3,14,0.84,0.56,-10.53,0.21,0.00195,0.00417,0.633,0.775,111.815,261853,1,0.4603650793650795,0.15085813492063493,0,4.364216666666667,420,96.23720178878989,11
195,49,2,3,0.6859999999999999,0.613,-5.614,0.069,0.0386,0.0,0.251,0.452,104.988,206875,1,0.6173076923076923,-0.07115384615384618,0,3.4479166666666665,379,109.92145015105741,1
204,70,2,5,0.5329999999999999,0.7829999999999999,-10.61,0.0366,0.0116,0.0565,0.18600000000000005,0.726,124.874,234907,1,0.6641025641025643,0.30480769230769234,7,3.9151166666666666,490,125.15591276547741,4
208,0,3,14,0.7609999999999999,0.782,-6.58,0.0601,0.139,0.0,0.0648,0.7659999999999999,101.88600000000001,174667,1,0.4854497354497354,0.18033509700176367,0,2.9111166666666666,476,163.51113833752225,0
209,51,3,14,0.5529999999999999,0.7020000000000001,-4.829,0.10800000000000001,0.00532,4.99e-06,0.0446,0.45299999999999996,201.868,240200,1,0.5351587301587304,0.2812698412698412,0,4.003333333333333,369,92.17318900915905,5
212,74,5,2,0.583,0.9470000000000001,-5.12,0.0378,0.0185,0.00109,0.0679,0.8029999999999999,135.44799999999998,223613,1,0.8952380952380952,0.4160714285714285,0,3.7268833333333333,184,49.3710115243747,1
217,55,0,16,0.7090000000000001,0.797,-5.22,0.316,0.212,0.0,0.0885,0.6779999999999999,99.95100000000001,168025,1,0.3958333333333334,0.10178571428571427,0,2.8004166666666666,373,133.1944651093587,0
219,61,5,2,0.41200000000000003,0.528,-6.6129999999999995,0.0259,0.298,5.03e-05,0.332,0.175,79.962,265093,1,0.4696969696969697,0.3928030303030303,3,4.418216666666667,518,117.24187360662107,11
222,75,2,3,0.413,0.856,-4.078,0.0808,0.0289,0.00571,0.34299999999999997,0.35,128.017,212960,1,0.625,0.0625,14,3.5493333333333332,916,258.07663410969195,7
225,51,5,0,0.8390000000000001,0.89,-11.697000000000001,0.0628,0.452,0.0224,0.0866,0.575,103.652,243133,1,0.89153981264637,-0.7334601873536299,8,4.052216666666666,546,134.7410676461032,0
227,78,5,2,0.768,0.852,-6.215,0.038,0.213,7.45e-05,0.0723,0.867,128.374,271240,1,0.6857142857142856,0.27678571428571425,2,4.520666666666667,327,72.33446394337119,0
235,18,5,0,0.7859999999999999,0.87,-3.875,0.0316,0.413,0.0004940000000000001,0.0389,0.8640000000000001,100.66,265173,1,0.6928191489361699,0.12612293144208034,6,4.41955,608,137.57056713918837,4
247,61,1,22,0.7240000000000001,0.81,-5.5,0.0381,0.10800000000000001,0.000599,0.153,0.838,94.00299999999999,231933,1,0.4666666666666666,0.1806255918560606,0,3.86555,447,115.63684339874015,0
252,59,5,2,0.63,0.688,-9.816,0.0266,0.124,4.7799999999999996e-05,0.158,0.893,124.825,218040,1,0.5558823529411765,0.058088235294117635,0,3.634,278,76.49972482113374,11
253,58,5,2,0.855,0.8029999999999999,-5.849,0.0316,0.342,0.00732,0.0841,0.9620000000000001,114.867,271200,1,0.5423174603174603,0.08066089466089467,0,4.52,258,57.07964601769912,2
262,42,2,10,0.599,0.5329999999999999,-14.032,0.0472,0.475,0.0015300000000000001,0.235,0.607,122.262,228467,1,0.4566666666666668,0.009999999999999998,0,3.8077833333333335,208,54.624956777127544,0
265,81,2,3,0.654,0.76,-3.6689999999999996,0.045,0.0797,0.0,0.299,0.41,99.945,200787,1,0.6535599816849813,-0.26667811355311355,34,3.34645,1356,405.2055162933855,5
273,43,3,14,0.852,0.5760000000000001,-8.668,0.0377,0.0108,1.21e-05,0.0848,0.902,92.12299999999999,267267,1,0.5722916666666665,-0.07749999999999996,0,4.45445,267,59.94005994005994,3
274,84,2,3,0.753,0.657,-3.0610000000000004,0.0449,0.171,0.0,0.11199999999999999,0.4370000000000001,107.01,184732,1,0.18015873015873016,-0.006646825396825399,53,3.078866666666667,2082,676.2228525647965,10
278,51,1,22,0.736,0.6890000000000001,-4.803999999999999,0.0456,0.38799999999999996,0.0,0.21100000000000002,0.465,101.046,151470,1,0.4936741363211952,0.14021942110177402,0,2.5245,287,113.68587839176071,5
281,36,0,1,0.525,0.856,-5.428,0.0576,0.00543,0.000102,0.217,0.2,129.97899999999998,314787,1,0.4754901960784313,-0.07436974789915966,7,5.24645,327,62.32785979090623,0
282,1,4,6,0.9079999999999999,0.721,-2.761,0.316,0.27399999999999997,0.0,0.0758,0.767,90.01,193467,1,0.5791661791661792,0.14064925314925314,1,3.22445,683,211.8190699189009,0
285,6,5,0,0.35,0.985,-5.676,0.122,0.008759999999999999,0.551,0.36,0.32299999999999995,151.007,343640,1,0.5062537136066547,0.029441473559120614,2,5.727333333333332,356,62.15807240135025,11
286,51,0,18,0.382,0.973,-5.749,0.139,0.0004969999999999999,0.0349,0.925,0.0375,127.52799999999999,211403,1,0.7999999999999999,-0.07500000000000001,0,3.5233833333333333,90,25.54362993902641,0
287,59,5,15,0.424,0.632,-7.2429999999999986,0.0922,0.021,0.0117,0.0545,0.35600000000000004,97.694,254533,1,0.4205882352941177,-0.06862745098039216,1,4.242216666666667,199,46.9094380689341,1
288,35,3,14,0.569,0.32,-8.965,0.0323,0.644,0.0,0.244,0.321,183.53900000000002,279960,1,0.4694444444444445,0.24166666666666664,0,4.666,169,36.21945992284612,2
290,62,0,4,0.613,0.461,-10.493,0.0313,0.0257,0.75,0.0776,0.0837,125.066,219280,1,0.5365740740740741,0.2708333333333333,0,3.6546666666666665,133,36.39182780007297,0
295,70,5,15,0.6940000000000001,0.5770000000000001,-14.63,0.0308,0.015,0.00836,0.0853,0.845,114.478,275733,1,0.5765740740740739,0.1595370370370371,0,4.59555,234,50.91882364461272,0
300,57,4,20,0.621,0.6,-6.349,0.5760000000000001,0.27699999999999997,0.0,0.495,0.485,80.021,253707,1,0.7665620807068173,0.3068309188374978,7,4.22845,870,205.7491515803664,0
305,51,3,9,0.807,0.498,-9.91,0.0755,0.259,3.04e-05,0.0618,0.857,99.001,277413,1,0.6433333333333332,0.19,0,4.62355,306,66.18291139924949,5
